"Module_No","Exam_Year","Exam_Sitting","Title","Module_name.x","Module_URL","Module_name.y","Doc_Type","language","paper","annex","region","HL_SAL_FAL","control"
6370,2017,"February","2017 Feb/March NSC Exam Papers","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=oZ_PFNSakrg%3d&tabid=1608&portalid=0&mid=6370","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
6370,2017,"February","2017 Feb/March NSC Exam Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=7jy-Y5jdPW8%3d&tabid=1608&portalid=0&mid=6370","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
8594,2017,"November","2017 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=CKnlLcPC2FI%3d&tabid=1856&portalid=0&mid=8594","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
8594,2017,"November","2017 November NSC Examination Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=ktb9UohzcrY%3d&tabid=1856&portalid=0&mid=8594","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
8594,2017,"November","2017 November NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=PZMjP4RgygA%3d&tabid=1856&portalid=0&mid=8594","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
8594,2017,"November","2017 November NSC Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=MSD6ZnsHRrA%3d&tabid=1856&portalid=0&mid=8594","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
8594,2017,"November","2017 November NSC Examination Papers","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=4kQXElZlalk%3d&tabid=1856&portalid=0&mid=8594","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
8594,2017,"November","2017 November NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=goM2WuoDjHg%3d&tabid=1856&portalid=0&mid=8594","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
4425,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=cDp8ROnt7gI%3d&tabid=1000&portalid=0&mid=4425","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
4425,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=LjTYQJedlRE%3d&tabid=1000&portalid=0&mid=4425","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
4425,2016,"February","2016 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=9w4M9ZxQgfI%3d&tabid=1000&portalid=0&mid=4425","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
4425,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=ToRh92I-mCg%3d&tabid=1000&portalid=0&mid=4425","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
4425,2016,"February","2016 Feb/March NSC Examination Papers","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=EcWx9foNiX0%3d&tabid=1000&portalid=0&mid=4425","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
4425,2016,"February","2016 Feb/March NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=Idd8bRBqgwU%3d&tabid=1000&portalid=0&mid=4425","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
5732,2016,"May","2016 ASC Exam Papers (May/June)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=uO-k4V2RN4o%3d&tabid=1375&portalid=0&mid=5732","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
5732,2016,"May","2016 ASC Exam Papers (May/June)","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=7Owp--xhlew%3d&tabid=1375&portalid=0&mid=5732","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
5732,2016,"May","2016 ASC Exam Papers (May/June)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=yj5nVsmwMlU%3d&tabid=1375&portalid=0&mid=5732","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
5732,2016,"May","2016 ASC Exam Papers (May/June)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=DXIjfcWfOxU%3d&tabid=1375&portalid=0&mid=5732","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
5732,2016,"May","2016 ASC Exam Papers (May/June)","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=UHlCzMrGr7Y%3d&tabid=1375&portalid=0&mid=5732","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
5732,2016,"May","2016 ASC Exam Papers (May/June)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=k_5rVqKEkMk%3d&tabid=1375&portalid=0&mid=5732","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
6160,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=edPhAVqWOsk%3d&tabid=1508&portalid=0&mid=6160","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
6160,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=EB1HLg9gp6A%3d&tabid=1508&portalid=0&mid=6160","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
6160,2016,"November","2016 NSC Examinations (Oct/Nov)","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=3HF7MGD1BFM%3d&tabid=1508&portalid=0&mid=6160","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
6160,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=IKHdrFywECg%3d&tabid=1508&portalid=0&mid=6160","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
6160,2016,"November","2016 NSC Examinations (Oct/Nov)","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=iu7kAVN_nIw%3d&tabid=1508&portalid=0&mid=6160","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
6160,2016,"November","2016 NSC Examinations (Oct/Nov)","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=rhsKgMR34eE%3d&tabid=1508&portalid=0&mid=6160","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
2927,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=nUXbTTT4Yh8%3d&tabid=730&portalid=0&mid=2927","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
2927,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=wExorx2FNdQ%3d&tabid=730&portalid=0&mid=2927","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
2927,2015,"February","2015 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=BMaLWMXZ0sc%3d&tabid=730&portalid=0&mid=2927","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
2927,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=IODGQr6aFSc%3d&tabid=730&portalid=0&mid=2927","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
2927,2015,"February","2015 Feb/March NSC Examination Papers","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=aNr1yr6Z94c%3d&tabid=730&portalid=0&mid=2927","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
2927,2015,"February","2015 Feb/March NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=4jmvli75Zxk%3d&tabid=730&portalid=0&mid=2927","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
4270,2015,"November","2015 November NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=QkZWw3_P6zw%3d&tabid=979&portalid=0&mid=4270","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
4270,2015,"November","2015 November NSC Examination Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=sI3iKGLPRLg%3d&tabid=979&portalid=0&mid=4270","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
4270,2015,"November","2015 November NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=wKoGZ7ZBCNM%3d&tabid=979&portalid=0&mid=4270","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
4270,2015,"November","2015 November NSC Examination Papers","Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=YyYukXSNxBk%3d&tabid=979&portalid=0&mid=4270","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
4270,2015,"November","2015 November NSC Examination Papers","Paper 1 Answer Book (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=daIQtiz7IUA%3d&tabid=979&portalid=0&mid=4270","Accounting","application/pdf","english","paper 1",NA,"All",NA," answer book "
4270,2015,"November","2015 November NSC Examination Papers","Memo Paper 1 (English)","https://www.education.gov.za/LinkClick.aspx?fileticket=dxwefmLZaSA%3d&tabid=979&portalid=0&mid=4270","Accounting","application/pdf","english","paper 1",NA,"All",NA,"memo  "
1666,2014,"February","2014 Feb/March NSC Examination Papers","Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=e6VuCAiInBk%3d&tabid=584&portalid=0&mid=1666","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," "
1666,2014,"February","2014 Feb/March NSC Examination Papers","Paper 1 Answer Book (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=l9iNg84rc0Q%3d&tabid=584&portalid=0&mid=1666","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA," answer book "
1666,2014,"February","2014 Feb/March NSC Examination Papers","Memo Paper 1 (Afrikaans)","https://www.education.gov.za/LinkClick.aspx?fileticket=LRCAZn4xdHk%3d&tabid=584&portalid=0&mid=1666","Accounting","application/pdf","afrikaans","paper 1",NA,"All",NA,"memo  "
1666,2014,"February","2014 Feb/March NSC Examination Papers","Paper 1 (english)","https://www.education.gov.za/LinkClick.aspx?fileticket=s78YjWtBuCI%3d&tabid=584&portalid=0&mid=1666","Accounting","application/pdf","english","paper 1",NA,"All",NA," "
